CODE_STATION;NOM_STATION;DATE_RELEVE;EVENEMENT;COTE;COTE_UNITE;VOLUME;VOLUME_UNITE;SURFACE;SURFACE_UNITE;DEBIT_IN;DEBIT_IN_UNITE;DEBIT_OUT;DEBIT_OUT_UNITE;EVAPORATION;EVAPORATION_UNITE;PLUVIOMETRIE;PLUVIOMETRIE_UNITE
34              ;Barrage du Salagou;12/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;13/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;14/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;15/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;16/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;17/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;18/06/69;Mise en eau;124,45;m NGF;;;;;;;;;;;13,8;mm
34              ;Barrage du Salagou;19/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;20/06/69;Mise en eau;124,4;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;21/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;22/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;23/06/69;Mise en eau;;m NGF;;;;;;;;;;;11,5;mm
34              ;Barrage du Salagou;24/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;25/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;26/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;27/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;28/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;29/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;30/06/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;01/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;02/07/69;Mise en eau;;m NGF;;;;;;;;;;;6;mm
34              ;Barrage du Salagou;03/07/69;Mise en eau;124,52;m NGF;;;;;;;;;;;12,8;mm
34              ;Barrage du Salagou;04/07/69;Mise en eau;124,55;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;05/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;06/07/69;Mise en eau;;m NGF;;;;;;;;;;;4;mm
34              ;Barrage du Salagou;07/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;08/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;09/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;10/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;11/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;12/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;13/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;14/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;15/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;16/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;17/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;18/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;19/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;20/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;21/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;22/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;23/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;24/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;25/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;26/07/69;Mise en eau;124,48;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;27/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;28/07/69;Mise en eau;;m NGF;;;;;;;;;;;7,5;mm
34              ;Barrage du Salagou;29/07/69;Mise en eau;124,48;m NGF;;;;;;;;;;;0;mm
