COTE;SURFACE;VOLUME
139.78;718.84;107660000
139.79;719.12;107730000
139.8;719.4;107800000
139.81;719.68;107870000
139.82;719.96;107940000
139.83;720.24;108010000
139.84;720.52;108080000
139.85;720.8;108150000
139.86;721.08;108220000
139.87;721.36;108290000
139.88;721.64;108360000
139.89;721.92;108430000
139.9;722.2;108500000
139.91;722.48;108570000
139.92;722.76;108640000
139.93;723.04;108710000
139.94;723.32;108780000
139.95;723.6;108850000
139.96;723.88;108920000
139.97;724.16;108990000
139.98;724.44;109060000
139.99;724.72;109130000
140;725;109200000
140.01;725.31;109270000
140.02;725.62;109340000
140.03;725.93;109410000
140.04;726.24;109480000
140.05;726.55;109550000
140.06;726.86;109620000
140.07;727.17;109690000
140.08;727.48;109760000
140.09;727.79;109830000
140.1;728.1;109900000
140.11;728.41;109970000
140.12;728.72;110040000
140.13;729.03;110110000
140.14;729.34;110180000
140.15;729.65;110250000
140.16;729.96;110320000
140.17;730.27;110390000
140.18;730.58;110460000
140.19;730.89;110530000
140.2;731.2;110600000
140.21;731.51;110670000
140.22;731.82;110740000
140.23;732.13;110810000
140.24;732.44;110880000
140.25;732.75;110950000
140.26;733.06;111020000
140.27;733.37;111090000
140.28;733.68;111160000
140.29;733.99;111230000
140.3;734.3;111300000
140.31;734.61;111370000
140.32;734.92;111440000
140.33;735.23;111510000
140.34;735.54;111580000
140.35;735.85;111650000
140.36;736.16;111720000
140.37;736.47;111790000
140.38;736.78;111860000
140.39;737.09;111930000
140.4;737.4;112000000
140.41;737.71;112070000
140.42;738.02;112140000
140.43;738.33;112210000
140.44;738.64;112280000
140.45;738.95;112350000
140.46;739.26;112420000
140.47;739.57;112490000
140.48;739.88;112560000
140.49;740.19;112630000
140.5;740.5;112700000
140.51;740.81;112770000
140.52;741.12;112840000
140.53;741.43;112910000
140.54;741.74;112980000
140.55;742.05;113050000
140.56;742.36;113120000
140.57;742.67;113190000
140.58;742.98;113260000
140.59;743.29;113330000
140.6;743.6;113400000
140.61;743.91;113470000
140.62;744.22;113540000
140.63;744.53;113610000
140.64;744.84;113680000
140.65;745.15;113750000
140.66;745.46;113820000
140.67;745.77;113890000
140.68;746.08;113960000
140.69;746.39;114030000
140.7;746.7;114100000
140.71;747.01;114170000
140.72;747.32;114240000
140.73;747.63;114310000
140.74;747.94;114380000
140.75;748.25;114450000
140.76;748.56;114520000
140.77;748.87;114590000
140.78;749.18;114660000
140.79;749.49;114730000
140.8;749.8;114800000
140.81;750.11;114870000
140.82;750.42;114940000
140.83;750.73;115010000
140.84;751.04;115080000
140.85;751.35;115150000
140.86;751.66;115220000
140.87;751.97;115290000
140.88;752.28;115360000
140.89;752.59;115430000
140.9;752.9;115500000
140.91;753.21;115570000
140.92;753.52;115640000
140.93;753.83;115710000
140.94;754.14;115780000
140.95;754.45;115850000
140.96;754.76;115920000
140.97;755.07;115990000
140.98;755.38;116060000
140.99;755.69;116130000
141;756;116200000
141.01;756.31;116274000
141.02;756.62;116348000
141.03;756.93;116422000
141.04;757.24;116496000
141.05;757.55;116570000
141.06;757.86;116644000
141.07;758.17;116718000
141.08;758.48;116792000
141.09;758.79;116866000
141.1;759.1;116940000
141.11;759.41;117014000
141.12;759.72;117088000
141.13;760.03;117162000
141.14;760.34;117236000
141.15;760.65;117310000
141.16;760.96;117384000
141.17;761.27;117458000
141.18;761.58;117532000
141.19;761.89;117606000
141.2;762.2;117680000
141.21;762.51;117754000
141.22;762.82;117828000
141.23;763.13;117902000
141.24;763.44;117976000
141.25;763.75;118050000
141.26;764.06;118124000
141.27;764.37;118198000
141.28;764.68;118272000
141.29;764.99;118346000
141.3;765.3;118420000
141.31;765.61;118494000
141.32;765.92;118568000
141.33;766.23;118642000
141.34;766.54;118716000
141.35;766.85;118790000
141.36;767.16;118864000
141.37;767.47;118938000
141.38;767.78;119012000
141.39;768.09;119086000
141.4;768.4;119160000
141.41;768.71;119234000
141.42;769.02;119308000
141.43;769.33;119382000
141.44;769.64;119456000
141.45;769.95;119530000
141.46;770.26;119604000
141.47;770.57;119678000
141.48;770.88;119752000
141.49;771.19;119826000
141.5;771.5;119900000
141.51;771.81;119974000
141.52;772.12;120048000
141.53;772.43;120122000
141.54;772.74;120196000
141.55;773.05;120270000
141.56;773.36;120344000
141.57;773.67;120418000
141.58;773.98;120492000
141.59;774.29;120566000
141.6;774.6;120640000
141.61;774.91;120714000
141.62;775.22;120788000
141.63;775.53;120862000
141.64;775.84;120936000
141.65;776.15;121010000
141.66;776.46;121084000
141.67;776.77;121158000
141.68;777.08;121232000
141.69;777.39;121306000
141.7;777.7;121380000
141.71;778.01;121454000
141.72;778.32;121528000
141.73;778.63;121602000
141.74;778.94;121676000
141.75;779.25;121750000
141.76;779.56;121824000
141.77;779.87;121898000
141.78;780.18;121972000
141.79;780.49;122046000
141.8;780.8;122120000
141.81;781.11;122194000
141.82;781.42;122268000
141.83;781.73;122342000
141.84;782.04;122416000
141.85;782.35;122490000
141.86;782.66;122564000
141.87;782.97;122638000
141.88;783.28;122712000
141.89;783.59;122786000
141.9;783.9;122860000
141.91;784.21;122934000
141.92;784.52;123008000
141.93;784.83;123082000
141.94;785.14;123156000
141.95;785.45;123230000
141.96;785.76;123304000
141.97;786.07;123378000
141.98;786.38;123452000
141.99;786.69;123526000
142;787;123600000
142.01;787.31;123678000
142.02;787.62;123756000
142.03;787.93;123834000
142.04;788.24;123912000
142.05;788.55;123990000
142.06;788.86;124068000
142.07;789.17;124146000
142.08;789.48;124224000
142.09;789.79;124302000
142.1;790.1;124380000
142.11;790.41;124458000
142.12;790.72;124536000
142.13;791.03;124614000
142.14;791.34;124692000
142.15;791.65;124770000
142.16;791.96;124848000
142.17;792.27;124926000
142.18;792.58;125004000
142.19;792.89;125082000
142.2;793.2;125160000
142.21;793.51;125238000
142.22;793.82;125316000
142.23;794.13;125394000
142.24;794.44;125472000
142.25;794.75;125550000
142.26;795.06;125628000
142.27;795.37;125706000
142.28;795.68;125784000
142.29;795.99;125862000
142.3;796.3;125940000
142.31;796.61;126018000
142.32;796.92;126096000
142.33;797.23;126174000
142.34;797.54;126252000
142.35;797.85;126330000
142.36;798.16;126408000
142.37;798.47;126486000
142.38;798.78;126564000
142.39;799.09;126642000
142.4;799.4;126720000
142.41;799.71;126798000
142.42;800.02;126876000
142.43;800.33;126954000
142.44;800.64;127032000
142.45;800.95;127110000
142.46;801.26;127188000
142.47;801.57;127266000
142.48;801.88;127344000
142.49;802.19;127422000
142.5;802.5;127500000
142.51;802.81;127578000
142.52;803.12;127656000
142.53;803.43;127734000
142.54;803.74;127812000
142.55;804.05;127890000
142.56;804.36;127968000
142.57;804.67;128046000
142.58;804.98;128124000
142.59;805.29;128202000
142.6;805.6;128280000
142.61;805.91;128358000
142.62;806.22;128436000
142.63;806.53;128514000
142.64;806.84;128592000
142.65;807.15;128670000
142.66;807.46;128748000
142.67;807.77;128826000
142.68;808.08;128904000
142.69;808.39;128982000
142.7;808.7;129060000
142.71;809.01;129138000
142.72;809.32;129216000
142.73;809.63;129294000
142.74;809.94;129372000
142.75;810.25;129450000
142.76;810.56;129528000
142.77;810.87;129606000
142.78;811.18;129684000
142.79;811.49;129762000
142.8;811.8;129840000
142.81;812.11;129918000
142.82;812.42;129996000
142.83;812.73;130074000
142.84;813.04;130152000
142.85;813.35;130230000
142.86;813.66;130308000
142.87;813.97;130386000
